backbone,n_videos,seed,video,map
CEN-B,total,1665,0,0.32908699488317433
CEN-B,total,1665,1,0.2736290477606248
CEN-B,total,1665,2,0.3516462749549475
CEN-B,total,1665,3,0.2940629550414478
CEN-B,total,1665,4,0.23869087826005533
CEN-B,total,1665,5,0.2853758216145051
CEN-B,total,1665,6,0.3621552928991492
CEN-B,total,1665,7,0.2793604532491129
CEN-B,total,1665,8,0.4011232832801337
FL-B,total,1665,0,0.385136557366251
FL-B,total,1665,1,0.41753969095819826
FL-B,total,1665,2,0.5066216138702557
FL-B,total,1665,3,0.4270421693718524
FL-B,total,1665,4,0.31050370458370363
FL-B,total,1665,5,0.3618411733022331
FL-B,total,1665,6,0.5563810331703435
FL-B,total,1665,7,0.3140483765855717
FL-B,total,1665,8,0.37269837203738687
CEN-B,total,8914,0,0.3192135987903245
CEN-B,total,8914,1,0.2871854057115969
CEN-B,total,8914,2,0.3535127772359685
CEN-B,total,8914,3,0.3065412841842795
CEN-B,total,8914,4,0.23756692091653767
CEN-B,total,8914,5,0.29846929746339707
CEN-B,total,8914,6,0.3791566081960071
CEN-B,total,8914,7,0.27083059176836893
CEN-B,total,8914,8,0.38352475243933404
FL-B,total,8914,0,0.3974607971879691
FL-B,total,8914,1,0.37476220530473486
FL-B,total,8914,2,0.5078088266193495
FL-B,total,8914,3,0.46156711716314996
FL-B,total,8914,4,0.3604752002810251
FL-B,total,8914,5,0.3348523895127965
FL-B,total,8914,6,0.5203252261034743
FL-B,total,8914,7,0.3440841380847034
FL-B,total,8914,8,0.3610151319389725
CEN-B,total,37,0,0.3195301341353927
CEN-B,total,37,1,0.28476237747856337
CEN-B,total,37,2,0.3458940782157621
CEN-B,total,37,3,0.30986455271275265
CEN-B,total,37,4,0.24147440745261933
CEN-B,total,37,5,0.28842199567644883
CEN-B,total,37,6,0.37212595367085677
CEN-B,total,37,7,0.2676201161713584
CEN-B,total,37,8,0.37942770415001875
FL-B,total,37,0,0.41578911089937093
FL-B,total,37,1,0.37617335379686623
FL-B,total,37,2,0.4635748507341344
FL-B,total,37,3,0.4579565409507088
FL-B,total,37,4,0.3688677809374461
FL-B,total,37,5,0.3799125416554176
FL-B,total,37,6,0.5273787463865901
FL-B,total,37,7,0.30830738952694375
FL-B,total,37,8,0.40090318835785466
CEN-B,2,1665,0,0.20394146967422452
CEN-B,2,1665,1,0.20118537020067678
CEN-B,2,1665,2,0.30351220332247153
CEN-B,2,1665,3,0.21491162640780753
CEN-B,2,1665,4,0.16424745176757632
CEN-B,2,1665,5,0.1885394510721188
CEN-B,2,1665,6,0.22764969591448586
CEN-B,2,1665,7,0.18111964847807238
CEN-B,2,1665,8,0.27102390998566905
FL-B,2,1665,0,0.23398398437274737
FL-B,2,1665,1,0.1822940573177066
FL-B,2,1665,2,0.27551930250124773
FL-B,2,1665,3,0.1981404503469777
FL-B,2,1665,4,0.16285822153093185
FL-B,2,1665,5,0.17971017765620412
FL-B,2,1665,6,0.27134968164752815
FL-B,2,1665,7,0.1803535580795905
FL-B,2,1665,8,0.3118482006292929
CEN-B,2,8914,0,0.2042718347180499
CEN-B,2,8914,1,0.19984562569770994
CEN-B,2,8914,2,0.2410310289397752
CEN-B,2,8914,3,0.2542128535775797
CEN-B,2,8914,4,0.18762874533256493
CEN-B,2,8914,5,0.23297858902470459
CEN-B,2,8914,6,0.26624953227474146
CEN-B,2,8914,7,0.21802697440055535
CEN-B,2,8914,8,0.28817831755330586
FL-B,2,8914,0,0.20184221465570606
FL-B,2,8914,1,0.17382632180174168
FL-B,2,8914,2,0.25852192627112985
FL-B,2,8914,3,0.19188495780155018
FL-B,2,8914,4,0.1692918475074054
FL-B,2,8914,5,0.21420839685318638
FL-B,2,8914,6,0.24396064926557084
FL-B,2,8914,7,0.19062128130416758
FL-B,2,8914,8,0.29967449462056256
CEN-B,2,37,0,0.257491089415898
CEN-B,2,37,1,0.1826665783249149
CEN-B,2,37,2,0.19071791524777204
CEN-B,2,37,3,0.22650071310094577
CEN-B,2,37,4,0.1875243998582651
CEN-B,2,37,5,0.24272842964812738
CEN-B,2,37,6,0.30236000514291916
CEN-B,2,37,7,0.19865200283737142
CEN-B,2,37,8,0.2682903040933429
FL-B,2,37,0,0.25226175844517457
FL-B,2,37,1,0.15594715902595088
FL-B,2,37,2,0.22207441151642177
FL-B,2,37,3,0.19887279657305462
FL-B,2,37,4,0.17388091247169882
FL-B,2,37,5,0.19735294431740827
FL-B,2,37,6,0.2581356381180207
FL-B,2,37,7,0.1821615993815075
FL-B,2,37,8,0.29398031639003686
CEN-B,4,1665,0,0.2791944575293285
CEN-B,4,1665,1,0.26164840578429366
CEN-B,4,1665,2,0.35952735110192346
CEN-B,4,1665,3,0.3317690612708567
CEN-B,4,1665,4,0.21580143777825353
CEN-B,4,1665,5,0.25425834154934035
CEN-B,4,1665,6,0.3652302243326419
CEN-B,4,1665,7,0.28438060720192343
CEN-B,4,1665,8,0.30638109477068903
FL-B,4,1665,0,0.3001872936147882
FL-B,4,1665,1,0.2717232844769108
FL-B,4,1665,2,0.3317114068150193
FL-B,4,1665,3,0.32784233781027244
FL-B,4,1665,4,0.20118899638673732
FL-B,4,1665,5,0.27991651525256683
FL-B,4,1665,6,0.36521150753581916
FL-B,4,1665,7,0.2891020011883091
FL-B,4,1665,8,0.3533508637630152
CEN-B,4,8914,0,0.1993190231399754
CEN-B,4,8914,1,0.18465062559454917
CEN-B,4,8914,2,0.33178290508788305
CEN-B,4,8914,3,0.21782757994777896
CEN-B,4,8914,4,0.16833749243639393
CEN-B,4,8914,5,0.18622256010529165
CEN-B,4,8914,6,0.3067286213466567
CEN-B,4,8914,7,0.18097364225522147
CEN-B,4,8914,8,0.21648534990278026
FL-B,4,8914,0,0.22289813836919117
FL-B,4,8914,1,0.22878505879149677
FL-B,4,8914,2,0.3342434709641069
FL-B,4,8914,3,0.22579474377509234
FL-B,4,8914,4,0.1640815925281567
FL-B,4,8914,5,0.19653331809248573
FL-B,4,8914,6,0.3278834144578233
FL-B,4,8914,7,0.19356265862901262
FL-B,4,8914,8,0.3135102968768635
CEN-B,4,37,0,0.2582830481871093
CEN-B,4,37,1,0.2078426936105288
CEN-B,4,37,2,0.3137533839807207
CEN-B,4,37,3,0.2920534281135241
CEN-B,4,37,4,0.24553195940469658
CEN-B,4,37,5,0.25839389966380133
CEN-B,4,37,6,0.2909898596484087
CEN-B,4,37,7,0.23218602689721785
CEN-B,4,37,8,0.2705976897215895
FL-B,4,37,0,0.2630761901173482
FL-B,4,37,1,0.21967550362039165
FL-B,4,37,2,0.3745267503483266
FL-B,4,37,3,0.3211098121673912
FL-B,4,37,4,0.23950050906531975
FL-B,4,37,5,0.2316491126555398
FL-B,4,37,6,0.2599558015160041
FL-B,4,37,7,0.2040849748758588
FL-B,4,37,8,0.3147554825420653
CEN-B,8,1665,0,0.34498600190596984
CEN-B,8,1665,1,0.2975584295925061
CEN-B,8,1665,2,0.34501733590512856
CEN-B,8,1665,3,0.363843132172043
CEN-B,8,1665,4,0.22330983327708837
CEN-B,8,1665,5,0.23552196930541738
CEN-B,8,1665,6,0.4591527171230679
CEN-B,8,1665,7,0.24173027523632165
CEN-B,8,1665,8,0.35001468196082947
FL-B,8,1665,0,0.34106404281819563
FL-B,8,1665,1,0.308210708907996
FL-B,8,1665,2,0.39298360755613293
FL-B,8,1665,3,0.3575036267758064
FL-B,8,1665,4,0.24007639703468692
FL-B,8,1665,5,0.2541682656916764
FL-B,8,1665,6,0.44838309114874647
FL-B,8,1665,7,0.3121486135290084
FL-B,8,1665,8,0.4356592629662445
CEN-B,8,8914,0,0.24894713004673374
CEN-B,8,8914,1,0.2906344430761681
CEN-B,8,8914,2,0.3717825127784615
CEN-B,8,8914,3,0.41887515139164366
CEN-B,8,8914,4,0.2666264490050881
CEN-B,8,8914,5,0.3148937295122895
CEN-B,8,8914,6,0.43240296127257516
CEN-B,8,8914,7,0.21388034796986247
CEN-B,8,8914,8,0.41042141084294625
FL-B,8,8914,0,0.2723858786709463
FL-B,8,8914,1,0.25235756718159813
FL-B,8,8914,2,0.41957241642470045
FL-B,8,8914,3,0.3757236624529707
FL-B,8,8914,4,0.24488837190416982
FL-B,8,8914,5,0.32175527077579785
FL-B,8,8914,6,0.38711449613653093
FL-B,8,8914,7,0.26593077786395725
FL-B,8,8914,8,0.3996837710768877
CEN-B,8,37,0,0.3299214880487387
CEN-B,8,37,1,0.30478597111478506
CEN-B,8,37,2,0.47665973329202965
CEN-B,8,37,3,0.33986446440964463
CEN-B,8,37,4,0.2791917195113795
CEN-B,8,37,5,0.346243263369797
CEN-B,8,37,6,0.40265675432453635
CEN-B,8,37,7,0.247675482527568
CEN-B,8,37,8,0.39624147515689023
FL-B,8,37,0,0.2956046129777771
FL-B,8,37,1,0.2893443948150746
FL-B,8,37,2,0.3876250734765453
FL-B,8,37,3,0.30582320882099145
FL-B,8,37,4,0.25409513300464404
FL-B,8,37,5,0.2459213865456561
FL-B,8,37,6,0.36939408926490547
FL-B,8,37,7,0.2650601244181045
FL-B,8,37,8,0.3393231987905281
