stage,seed,n_video,video,backbone,accuracy,f1
FE,37,full,65,FL-BB,0.9054991991457555,0.6426648078503566
FE,37,full,77,FL-BB,0.8780975219824141,0.7903056432427735
FE,37,full,50,FL-BB,0.7138939670932358,0.6603374908042685
FE,37,full,69,FL-BB,0.8845901639344262,0.6893666915094391
FE,37,full,71,FL-BB,0.7351888667992048,0.67452967712435
FE,37,full,63,FL-BB,0.7710457325953977,0.615479810626127
FE,37,full,57,FL-BB,0.7104863221884499,0.6637990813265419
FE,37,full,56,FL-BB,0.7001090512540894,0.6407126469664656
FE,37,full,58,FL-BB,0.5516435841815451,0.4618773830535255
FE,37,full,78,FL-BB,0.8362652232746955,0.7997542908446922
FE,37,full,75,FL-BB,0.87467498699948,0.6580169507819666
FE,37,full,49,FL-BB,0.8587672052663076,0.804088577365787
FE,37,full,54,FL-BB,0.8774193548387097,0.7315674631166803
FE,37,full,66,FL-BB,0.8887061403508771,0.8176780745951032
FE,37,full,76,FL-BB,0.7685919214798037,0.6961046133149067
FE,37,full,70,FL-BB,0.7554438860971524,0.6548477659172774
FE,37,full,53,FL-BB,0.8154127322570819,0.6610873751020205
FE,37,full,55,FL-BB,0.9112825458052073,0.813476984887468
FE,37,full,74,FL-BB,0.6811505507955936,0.6467749094093599
FE,37,full,59,FL-BB,0.9273422562141491,0.8433757497409885
FE,37,full,61,FL-BB,0.8285325470628261,0.6411533641784698
FE,37,full,60,FL-BB,0.6465244865718799,0.5795877967025371
FE,37,full,80,FL-BB,0.8393271461716937,0.742483263693909
FE,37,full,79,FL-BB,0.8479789103690686,0.7523026905746618
FE,37,full,52,FL-BB,0.8880976602238047,0.8010651008862117
FE,37,full,68,FL-BB,0.8666328600405679,0.8022992089263112
FE,37,full,51,FL-BB,0.8067255434782609,0.7467890990190503
FE,37,full,72,FL-BB,0.7450096587250483,0.7320083178849118
FE,37,full,67,FL-BB,0.8470038249043774,0.7712993340913098
FE,37,full,64,FL-BB,0.8040033361134279,0.7500025076487579
FE,37,full,73,FL-BB,0.8820058997050148,0.8345285002774325
FE,37,full,62,FL-BB,0.8090551181102362,0.8023368177939176
FE,1665,full,65,FL-BB,0.8916177255739456,0.6178178217847784
FE,1665,full,77,FL-BB,0.8697042366107114,0.7908394695609455
FE,1665,full,50,FL-BB,0.783363802559415,0.58132842271423
FE,1665,full,69,FL-BB,0.9359562841530055,0.6970057082835044
FE,1665,full,71,FL-BB,0.7642147117296223,0.5841932436438252
FE,1665,full,63,FL-BB,0.7623070200990387,0.6025047678942912
FE,1665,full,57,FL-BB,0.7822948328267477,0.6819222363972255
FE,1665,full,56,FL-BB,0.7191930207197382,0.6554361077741243
FE,1665,full,58,FL-BB,0.5795094276656099,0.45194495552324765
FE,1665,full,78,FL-BB,0.8064952638700947,0.7513212673626966
FE,1665,full,75,FL-BB,0.8476339053562143,0.6617252035214246
FE,1665,full,49,FL-BB,0.8623578695391981,0.8151168870264965
FE,1665,full,54,FL-BB,0.817741935483871,0.7080912247261326
FE,1665,full,66,FL-BB,0.8777412280701754,0.8003015388685848
FE,1665,full,76,FL-BB,0.8123820309550774,0.719367700921672
FE,1665,full,70,FL-BB,0.8132328308207705,0.6934998814925183
FE,1665,full,53,FL-BB,0.7828205909229363,0.6648805109213217
FE,1665,full,55,FL-BB,0.892960462873674,0.8057830744843104
FE,1665,full,74,FL-BB,0.6609547123623011,0.6540550291663785
FE,1665,full,59,FL-BB,0.9015296367112811,0.7951343639338734
FE,1665,full,61,FL-BB,0.8103878430483102,0.6110183531132448
FE,1665,full,60,FL-BB,0.7950236966824644,0.6527617771617812
FE,1665,full,80,FL-BB,0.8549883990719258,0.7023258901986903
FE,1665,full,79,FL-BB,0.8749267721148213,0.7010336682127966
FE,1665,full,52,FL-BB,0.9003051881993896,0.8368276250480913
FE,1665,full,68,FL-BB,0.8438133874239351,0.7582422185360738
FE,1665,full,51,FL-BB,0.8206521739130435,0.7371868648954111
FE,1665,full,72,FL-BB,0.7050869285254346,0.6946106235582806
FE,1665,full,67,FL-BB,0.8805779855503613,0.7713666580488928
FE,1665,full,64,FL-BB,0.8311092577147623,0.7461551499411322
FE,1665,full,73,FL-BB,0.8797935103244838,0.8086434847023322
FE,1665,full,62,FL-BB,0.8508858267716536,0.7697134064211192
FE,8914,full,65,FL-BB,0.9044313934863855,0.6429291132816003
FE,8914,full,77,FL-BB,0.8864908073541167,0.7986841675412556
FE,8914,full,50,FL-BB,0.7093235831809872,0.5794625013709511
FE,8914,full,69,FL-BB,0.8893989071038252,0.7047769793961719
FE,8914,full,71,FL-BB,0.7240556660039762,0.5498642140058448
FE,8914,full,63,FL-BB,0.8051267113311972,0.6484489046214886
FE,8914,full,57,FL-BB,0.7488601823708206,0.6817336250177949
FE,8914,full,56,FL-BB,0.6952017448200655,0.6719351673183187
FE,8914,full,58,FL-BB,0.6257300183547472,0.5212849654419218
FE,8914,full,78,FL-BB,0.8633288227334236,0.8393461529500653
FE,8914,full,75,FL-BB,0.8684347373894956,0.670052771077646
FE,8914,full,49,FL-BB,0.8749251944943148,0.8190104358420509
FE,8914,full,54,FL-BB,0.8380645161290322,0.6638000670909234
FE,8914,full,66,FL-BB,0.8755482456140351,0.7718914236801452
FE,8914,full,76,FL-BB,0.7599093997734995,0.7208356245130056
FE,8914,full,70,FL-BB,0.7654941373534339,0.6709080458483795
FE,8914,full,53,FL-BB,0.7968321657021017,0.6839392784830446
FE,8914,full,55,FL-BB,0.8987463837994214,0.7977737356518935
FE,8914,full,74,FL-BB,0.6805385556915544,0.6452587231240882
FE,8914,full,59,FL-BB,0.9254302103250478,0.8584560006711169
FE,8914,full,61,FL-BB,0.8364708550691767,0.6279319045550336
FE,8914,full,60,FL-BB,0.759083728278041,0.6176824749474111
FE,8914,full,80,FL-BB,0.861368909512761,0.7600702436112373
FE,8914,full,79,FL-BB,0.848564733450498,0.7445021200427976
FE,8914,full,52,FL-BB,0.8835198372329603,0.8036319845932398
FE,8914,full,68,FL-BB,0.8615618661257607,0.8002160021419421
FE,8914,full,51,FL-BB,0.7931385869565217,0.737420350492091
FE,8914,full,72,FL-BB,0.7491951062459755,0.7256159485528804
FE,8914,full,67,FL-BB,0.8533786655333616,0.7631555174408108
FE,8914,full,64,FL-BB,0.8190158465387823,0.7548433035045677
FE,8914,full,73,FL-BB,0.8974926253687315,0.8469488605917215
FE,8914,full,62,FL-BB,0.8361220472440944,0.7762134446655425
FE,37,full,65,CEN-BB,0.8862786972770955,0.6367615070583401
FE,37,full,77,CEN-BB,0.9056754596322941,0.8236473518301846
FE,37,full,50,CEN-BB,0.6636197440585009,0.5596243441715354
FE,37,full,69,CEN-BB,0.899016393442623,0.6940915885374137
FE,37,full,71,CEN-BB,0.7009940357852883,0.5308776512824676
FE,37,full,63,CEN-BB,0.8007573550830178,0.6842086024960486
FE,37,full,57,CEN-BB,0.7632978723404256,0.68809169360986
FE,37,full,56,CEN-BB,0.7241003271537623,0.6485444638769647
FE,37,full,58,CEN-BB,0.5689971633572501,0.45682978694315246
FE,37,full,78,CEN-BB,0.8741542625169147,0.8348306984612809
FE,37,full,75,CEN-BB,0.8866354654186167,0.6611619090058454
FE,37,full,49,CEN-BB,0.8737283064033513,0.791292154352878
FE,37,full,54,CEN-BB,0.8690322580645161,0.778404496702505
FE,37,full,66,CEN-BB,0.8558114035087719,0.7109528368254823
FE,37,full,76,CEN-BB,0.7580218950547376,0.6987866972357984
FE,37,full,70,CEN-BB,0.8132328308207705,0.6970174712905698
FE,37,full,53,CEN-BB,0.8464818763326226,0.7184918284527928
FE,37,full,55,CEN-BB,0.9006750241080038,0.7935883975290999
FE,37,full,74,CEN-BB,0.6376988984088128,0.6430164770272903
FE,37,full,59,CEN-BB,0.9082217973231358,0.8109533826132375
FE,37,full,61,CEN-BB,0.8142435926513949,0.6160339139485116
FE,37,full,60,CEN-BB,0.5983412322274881,0.5885542662776221
FE,37,full,80,CEN-BB,0.7900232018561485,0.6802319906574612
FE,37,full,79,CEN-BB,0.7659636789689513,0.7097517839229128
FE,37,full,52,CEN-BB,0.9252288911495422,0.8724398846386195
FE,37,full,68,CEN-BB,0.8711967545638946,0.8149457230830465
FE,37,full,51,CEN-BB,0.7520380434782609,0.7330557522027654
FE,37,full,72,CEN-BB,0.7446877012234385,0.710075632287534
FE,37,full,67,CEN-BB,0.777305567360816,0.7296286622046606
FE,37,full,64,CEN-BB,0.7614678899082569,0.6992910014529351
FE,37,full,73,CEN-BB,0.8893805309734514,0.8350171784752395
FE,37,full,62,CEN-BB,0.7534448818897638,0.7292011556189001
FE,1665,full,65,CEN-BB,0.9022957821676455,0.6465697705134582
FE,1665,full,77,CEN-BB,0.8924860111910472,0.8061955920694077
FE,1665,full,50,CEN-BB,0.7513711151736746,0.6141662960702637
FE,1665,full,69,CEN-BB,0.9289617486338798,0.7369021488024883
FE,1665,full,71,CEN-BB,0.7669980119284294,0.6017802854193383
FE,1665,full,63,CEN-BB,0.830468977570638,0.691734528056779
FE,1665,full,57,CEN-BB,0.8123100303951368,0.7190890459054057
FE,1665,full,56,CEN-BB,0.7709923664122137,0.6866385261298643
FE,1665,full,58,CEN-BB,0.6048723510762556,0.4912073810370025
FE,1665,full,78,CEN-BB,0.8606224627875507,0.8240559446925364
FE,1665,full,75,CEN-BB,0.8736349453978159,0.6957031914587802
FE,1665,full,49,CEN-BB,0.9024536205864752,0.840392114515416
FE,1665,full,54,CEN-BB,0.8380645161290322,0.7147706097160319
FE,1665,full,66,CEN-BB,0.8892543859649122,0.7876015593761493
FE,1665,full,76,CEN-BB,0.7281993204983013,0.6915407470279489
FE,1665,full,70,CEN-BB,0.847571189279732,0.7627423447238731
FE,1665,full,53,CEN-BB,0.8507462686567164,0.717610997822389
FE,1665,full,55,CEN-BB,0.9093539054966249,0.8004201340226027
FE,1665,full,74,CEN-BB,0.6829865361077111,0.6638845481624249
FE,1665,full,59,CEN-BB,0.9139579349904398,0.8342861205303062
FE,1665,full,61,CEN-BB,0.8369244726695396,0.641419317568665
FE,1665,full,60,CEN-BB,0.6370458135860979,0.5857737004824373
FE,1665,full,80,CEN-BB,0.8335266821345708,0.7301940744006787
FE,1665,full,79,CEN-BB,0.8265963678968952,0.7414509283347149
FE,1665,full,52,CEN-BB,0.917090539165819,0.8575879686266072
FE,1665,full,68,CEN-BB,0.8828600405679513,0.8130526047609462
FE,1665,full,51,CEN-BB,0.7476222826086957,0.732797779982849
FE,1665,full,72,CEN-BB,0.7572440437862202,0.7245452021554051
FE,1665,full,67,CEN-BB,0.852953676158096,0.7638396482828996
FE,1665,full,64,CEN-BB,0.8073394495412844,0.7530602330306089
FE,1665,full,73,CEN-BB,0.894542772861357,0.8410257581768018
FE,1665,full,62,CEN-BB,0.8302165354330708,0.7928530436760989
FE,8914,full,65,CEN-BB,0.9161772557394554,0.6540026181581524
FE,8914,full,77,CEN-BB,0.846123101518785,0.761632108835706
FE,8914,full,50,CEN-BB,0.7394881170018281,0.5557681796458697
FE,8914,full,69,CEN-BB,0.940983606557377,0.7335790371485693
FE,8914,full,71,CEN-BB,0.7347912524850895,0.5825498354614949
FE,8914,full,63,CEN-BB,0.8211476842411884,0.6519835265885826
FE,8914,full,57,CEN-BB,0.7727963525835866,0.6754967414824579
FE,8914,full,56,CEN-BB,0.7595419847328244,0.6859349238776475
FE,8914,full,58,CEN-BB,0.6379108960453863,0.4862716618151869
FE,8914,full,78,CEN-BB,0.8227334235453315,0.7686640691932467
FE,8914,full,75,CEN-BB,0.891315652626105,0.6981306899811752
FE,8914,full,49,CEN-BB,0.8821065230400957,0.8130903327108567
FE,8914,full,54,CEN-BB,0.8638709677419355,0.7638051983524516
FE,8914,full,66,CEN-BB,0.8558114035087719,0.7407001530764996
FE,8914,full,76,CEN-BB,0.763684409211023,0.706670855244402
FE,8914,full,70,CEN-BB,0.8659966499162479,0.7415095716310488
FE,8914,full,53,CEN-BB,0.8266829119707585,0.6925092163770569
FE,8914,full,55,CEN-BB,0.8900675024108003,0.7749654011130798
FE,8914,full,74,CEN-BB,0.6964504283965728,0.6615211845688788
FE,8914,full,59,CEN-BB,0.9149139579349904,0.8239399503197445
FE,8914,full,61,CEN-BB,0.837604899070084,0.6284810139252635
FE,8914,full,60,CEN-BB,0.669826224328594,0.5448641047896882
FE,8914,full,80,CEN-BB,0.851508120649652,0.6963380452530548
FE,8914,full,79,CEN-BB,0.8295254833040422,0.6993179250248283
FE,8914,full,52,CEN-BB,0.8799593082400814,0.8151951555313752
FE,8914,full,68,CEN-BB,0.8661257606490872,0.7900264868976137
FE,8914,full,51,CEN-BB,0.8043478260869565,0.7294346140545978
FE,8914,full,72,CEN-BB,0.7392144236960722,0.7027683908460934
FE,8914,full,67,CEN-BB,0.8550786230344242,0.7674000417959489
FE,8914,full,64,CEN-BB,0.8265221017514596,0.7500975388404246
FE,8914,full,73,CEN-BB,0.9019174041297935,0.8432766654029358
FE,8914,full,62,CEN-BB,0.8494094488188977,0.7909596084002312
FE,37,2,65,FL-BB,0.7373198077949813,0.5469424851317157
FE,37,2,77,FL-BB,0.6310951239008793,0.49010038103414705
FE,37,2,50,FL-BB,0.44881170018281535,0.444868644294137
FE,37,2,69,FL-BB,0.5005464480874317,0.3571315066461494
FE,37,2,71,FL-BB,0.504572564612326,0.351340864904242
FE,37,2,63,FL-BB,0.67491989513545,0.40118538832641065
FE,37,2,57,FL-BB,0.5037993920972644,0.3805939522825078
FE,37,2,56,FL-BB,0.42639040348964014,0.37082073028865015
FE,37,2,58,FL-BB,0.4655431336559319,0.2783463420559079
FE,37,2,78,FL-BB,0.37483085250338294,0.33756151168510484
FE,37,2,75,FL-BB,0.7987519500780031,0.4988568122373299
FE,37,2,49,FL-BB,0.5062836624775583,0.46346899775082456
FE,37,2,54,FL-BB,0.5258064516129032,0.40992212254458965
FE,37,2,66,FL-BB,0.6447368421052632,0.3817095187113955
FE,37,2,76,FL-BB,0.487353718384296,0.3219542781515292
FE,37,2,70,FL-BB,0.4212730318257956,0.3925798508786612
FE,37,2,53,FL-BB,0.5787389582698751,0.40721691372416957
FE,37,2,55,FL-BB,0.7097396335583414,0.4200283028977406
FE,37,2,74,FL-BB,0.42105263157894735,0.2608058400867914
FE,37,2,59,FL-BB,0.630019120458891,0.39221140856109393
FE,37,2,61,FL-BB,0.6770242685416195,0.3579861421943251
FE,37,2,60,FL-BB,0.44273301737756715,0.416193247677464
FE,37,2,80,FL-BB,0.660092807424594,0.4379238416044213
FE,37,2,79,FL-BB,0.6133567662565905,0.40866895096216027
FE,37,2,52,FL-BB,0.5213631739572736,0.4629338228835675
