stage,seed,n_video,video,backbone,accuracy,f1
S2,8914,8,0,FL-BB,0.9455416202545166,0.9159
S2,8914,8,1,FL-BB,0.825411319732666,0.8025
S2,8914,8,2,FL-BB,0.850203812122345,0.854
S2,8914,8,3,FL-BB,0.9338759183883667,0.9144
S2,8914,8,4,FL-BB,0.8531830906867981,0.761
S2,8914,8,5,FL-BB,0.9612902998924255,0.9264
S2,8914,8,6,FL-BB,0.9083895683288574,0.8383
S2,8914,8,7,FL-BB,0.7720828652381897,0.7854
S2,8914,8,8,FL-BB,0.8153495192527771,0.8344
S2,8914,8,9,FL-BB,0.49741363525390625,0.6278
S2,8914,8,10,FL-BB,0.8441682457923889,0.7578
S2,8914,8,11,FL-BB,0.4988151788711548,0.6224
S2,8914,8,12,FL-BB,0.9058743715286255,0.8194
S2,8914,8,13,FL-BB,0.961614191532135,0.909
S2,8914,8,14,FL-BB,0.7873579859733582,0.7037
S2,8914,8,15,FL-BB,0.9015846252441406,0.8495
S2,8914,8,16,FL-BB,0.9263213872909546,0.7315
S2,8914,8,17,FL-BB,0.9588815569877625,0.91
S2,8914,8,18,FL-BB,0.9026774168014526,0.8586
S2,8914,8,19,FL-BB,0.9203854203224182,0.8783
S2,8914,8,20,FL-BB,0.8533333539962769,0.7852
S2,8914,8,21,FL-BB,0.9229480624198914,0.887
S2,8914,8,22,FL-BB,0.8481113314628601,0.8359
S2,8914,8,23,FL-BB,0.7894397974014282,0.8007
S2,8914,8,24,FL-BB,0.9601770043373108,0.9395
S2,8914,8,25,FL-BB,0.7129743099212646,0.7757
S2,8914,8,26,FL-BB,0.8320332765579224,0.8782
S2,8914,8,27,FL-BB,0.8097395300865173,0.8508
S2,8914,8,28,FL-BB,0.9292566180229187,0.8891
S2,8914,8,29,FL-BB,0.8119080066680908,0.8053
S2,8914,8,30,FL-BB,0.8131224513053894,0.7803
S2,8914,8,31,FL-BB,0.9187934994697571,0.7992
S2,1665,8,0,FL-BB,0.9222022891044617,0.902
S2,1665,8,1,FL-BB,0.8153564929962158,0.7407
S2,1665,8,2,FL-BB,0.854619562625885,0.8674
S2,1665,8,3,FL-BB,0.9257375597953796,0.9182
S2,1665,8,4,FL-BB,0.8769418001174927,0.7957
S2,1665,8,5,FL-BB,0.6800000071525574,0.7888
S2,1665,8,6,FL-BB,0.8958534002304077,0.8129
S2,1665,8,7,FL-BB,0.8478735089302063,0.8519
S2,1665,8,8,FL-BB,0.7617781162261963,0.7933
S2,1665,8,9,FL-BB,0.5070915818214417,0.6856
S2,1665,8,10,FL-BB,0.8403441905975342,0.8034
S2,1665,8,11,FL-BB,0.7539494633674622,0.6734
S2,1665,8,12,FL-BB,0.8974823951721191,0.8217
S2,1665,8,13,FL-BB,0.8592519760131836,0.8306
S2,1665,8,14,FL-BB,0.7675502300262451,0.644
S2,1665,8,15,FL-BB,0.8924103379249573,0.8335
S2,1665,8,16,FL-BB,0.9279231429100037,0.7729
S2,1665,8,17,FL-BB,0.9281798005104065,0.8379
S2,1665,8,18,FL-BB,0.9116021990776062,0.866
S2,1665,8,19,FL-BB,0.9239351153373718,0.883
S2,1665,8,20,FL-BB,0.9213114976882935,0.8188
S2,1665,8,21,FL-BB,0.8601340055465698,0.8201
S2,1665,8,22,FL-BB,0.6314115524291992,0.6931
S2,1665,8,23,FL-BB,0.6706374883651733,0.7619
S2,1665,8,24,FL-BB,0.9446902871131897,0.9142
S2,1665,8,25,FL-BB,0.7509179711341858,0.7602
S2,1665,8,26,FL-BB,0.8247529864311218,0.772
S2,1665,8,27,FL-BB,0.7953944802284241,0.8277
S2,1665,8,28,FL-BB,0.9324540495872498,0.8914
S2,1665,8,29,FL-BB,0.8010825514793396,0.7971
S2,1665,8,30,FL-BB,0.9045108556747437,0.7763
S2,1665,8,31,FL-BB,0.7505800724029541,0.7291
S2,37,8,0,FL-BB,0.8862956166267395,0.8753
S2,37,8,1,FL-BB,0.9268738627433777,0.866
S2,37,8,2,FL-BB,0.7890625,0.8369
S2,37,8,3,FL-BB,0.928280770778656,0.9145
S2,37,8,4,FL-BB,0.7697228193283081,0.701
S2,37,8,5,FL-BB,0.939032256603241,0.9146
S2,37,8,6,FL-BB,0.9151398539543152,0.8556
S2,37,8,7,FL-BB,0.8058887720108032,0.787
S2,37,8,8,FL-BB,0.765577495098114,0.7958
S2,37,8,9,FL-BB,0.7577173113822937,0.7049
S2,37,8,10,FL-BB,0.9311663508415222,0.9
S2,37,8,11,FL-BB,0.6820695400238037,0.661
S2,37,8,12,FL-BB,0.9151735305786133,0.8356
S2,37,8,13,FL-BB,0.9448819160461426,0.9137
S2,37,8,14,FL-BB,0.8030876517295837,0.7219
S2,37,8,15,FL-BB,0.8903252482414246,0.8372
S2,37,8,16,FL-BB,0.8622530698776245,0.7678
S2,37,8,17,FL-BB,0.9440789222717285,0.8799
S2,37,8,18,FL-BB,0.9171270728111267,0.8583
S2,37,8,19,FL-BB,0.9046652913093567,0.8648
S2,37,8,20,FL-BB,0.9497267603874207,0.8446
S2,37,8,21,FL-BB,0.8182579278945923,0.774
S2,37,8,22,FL-BB,0.8381709456443787,0.7534
S2,37,8,23,FL-BB,0.7900837063789368,0.8142
S2,37,8,24,FL-BB,0.9078171253204346,0.9032
S2,37,8,25,FL-BB,0.7068543434143066,0.7223
S2,37,8,26,FL-BB,0.8549141883850098,0.7831
S2,37,8,27,FL-BB,0.7867119908332825,0.8354
S2,37,8,28,FL-BB,0.9356514811515808,0.8958
S2,37,8,29,FL-BB,0.8078484535217285,0.793
S2,37,8,30,FL-BB,0.8637961149215698,0.817
S2,37,8,31,FL-BB,0.9402552247047424,0.8436
S2,1665,4,0,FL-BB,0.8779174089431763,0.8596
S2,1665,4,1,FL-BB,0.9186471700668335,0.7526
S2,1665,4,2,FL-BB,0.80638587474823,0.8532
S2,1665,4,3,FL-BB,0.9506612420082092,0.9336
S2,1665,4,4,FL-BB,0.8629302382469177,0.7655
S2,1665,4,5,FL-BB,0.9461290240287781,0.907
S2,1665,4,6,FL-BB,0.8283510208129883,0.7212
S2,1665,4,7,FL-BB,0.6532170176506042,0.6897
S2,1665,4,8,FL-BB,0.6048632264137268,0.6134
S2,1665,4,9,FL-BB,0.4174870550632477,0.5339
S2,1665,4,10,FL-BB,0.7342256307601929,0.7535
S2,1665,4,11,FL-BB,0.2618483304977417,0.5566
S2,1665,4,12,FL-BB,0.7625311613082886,0.6836
S2,1665,4,13,FL-BB,0.8213582634925842,0.8465
S2,1665,4,14,FL-BB,0.5680162906646729,0.534
S2,1665,4,15,FL-BB,0.755212664604187,0.7597
S2,1665,4,16,FL-BB,0.9044314026832581,0.7497
S2,1665,4,17,FL-BB,0.8207237124443054,0.7663
S2,1665,4,18,FL-BB,0.8504037261009216,0.8557
S2,1665,4,19,FL-BB,0.8980730175971985,0.8519
