backbone,n_videos,seed,video,map
CEN-B,total,1665,0,0.32908699488317433
CEN-B,total,1665,1,0.2736290477606248
CEN-B,total,1665,2,0.3516462749549475
CEN-B,total,1665,3,0.2940629550414478
CEN-B,total,1665,4,0.23869087826005533
CEN-B,total,1665,5,0.2853758216145051
CEN-B,total,1665,6,0.3621552928991492
CEN-B,total,1665,7,0.2793604532491129
CEN-B,total,1665,8,0.4011232832801337
FL-B,total,1665,0,0.22363512997727428
FL-B,total,1665,1,0.2356723293827183
FL-B,total,1665,2,0.3101467684742274
FL-B,total,1665,3,0.2561800955337186
FL-B,total,1665,4,0.1837451022482805
FL-B,total,1665,5,0.23890284742362933
FL-B,total,1665,6,0.3164917962447194
FL-B,total,1665,7,0.2390742023340786
FL-B,total,1665,8,0.3747739780591492
CEN-B,total,8914,0,0.3192135987903245
CEN-B,total,8914,1,0.2871854057115969
CEN-B,total,8914,2,0.3535127772359685
CEN-B,total,8914,3,0.3065412841842795
CEN-B,total,8914,4,0.23756692091653767
CEN-B,total,8914,5,0.29846929746339707
CEN-B,total,8914,6,0.3791566081960071
CEN-B,total,8914,7,0.27083059176836893
CEN-B,total,8914,8,0.38352475243933404
FL-B,total,8914,0,0.230406044993388
FL-B,total,8914,1,0.24640839793411926
FL-B,total,8914,2,0.31464179634986333
FL-B,total,8914,3,0.26218160610460334
FL-B,total,8914,4,0.1835823891649333
FL-B,total,8914,5,0.24719634225715587
FL-B,total,8914,6,0.33618159035486095
FL-B,total,8914,7,0.25145671894361954
FL-B,total,8914,8,0.38152048345057143
CEN-B,total,37,0,0.3195301341353927
CEN-B,total,37,1,0.28476237747856337
CEN-B,total,37,2,0.3458940782157621
CEN-B,total,37,3,0.30986455271275265
CEN-B,total,37,4,0.24147440745261933
CEN-B,total,37,5,0.28842199567644883
CEN-B,total,37,6,0.37212595367085677
CEN-B,total,37,7,0.2676201161713584
CEN-B,total,37,8,0.37942770415001875
FL-B,total,37,0,0.22630253712993184
FL-B,total,37,1,0.245861789636916
FL-B,total,37,2,0.3089673535000692
FL-B,total,37,3,0.25788475506949055
FL-B,total,37,4,0.1926263236905402
FL-B,total,37,5,0.24251219230116883
FL-B,total,37,6,0.3359500681440618
FL-B,total,37,7,0.24228292924032516
FL-B,total,37,8,0.3777359457675586
CEN-B,2,1665,0,0.18435396259349957
CEN-B,2,1665,1,0.1500287412148785
CEN-B,2,1665,2,0.218606890714174
CEN-B,2,1665,3,0.18420187774275631
CEN-B,2,1665,4,0.15899892200555502
CEN-B,2,1665,5,0.17006988270772158
CEN-B,2,1665,6,0.18916449949786662
CEN-B,2,1665,7,0.16923255699169845
CEN-B,2,1665,8,0.3189532113189928
FL-B,2,1665,0,0.16646733905416716
FL-B,2,1665,1,0.15702479986007067
FL-B,2,1665,2,0.19588859737814812
FL-B,2,1665,3,0.1500925941318696
FL-B,2,1665,4,0.13566805391793305
FL-B,2,1665,5,0.14845706352303742
FL-B,2,1665,6,0.1638891510139955
FL-B,2,1665,7,0.1942556878118195
FL-B,2,1665,8,0.24032695572959129
CEN-B,2,8914,0,0.19569109956666478
CEN-B,2,8914,1,0.1532883793141744
CEN-B,2,8914,2,0.18995373575762925
CEN-B,2,8914,3,0.20434207617652686
CEN-B,2,8914,4,0.17257607150387191
CEN-B,2,8914,5,0.2259394533919802
CEN-B,2,8914,6,0.20285375491205146
CEN-B,2,8914,7,0.16703706515718522
CEN-B,2,8914,8,0.2847000921677327
FL-B,2,8914,0,0.14574463421145778
FL-B,2,8914,1,0.1527046399114885
FL-B,2,8914,2,0.19113909834932066
FL-B,2,8914,3,0.1704658221658013
FL-B,2,8914,4,0.1509646467533907
FL-B,2,8914,5,0.18056571536055707
FL-B,2,8914,6,0.17206923678285527
FL-B,2,8914,7,0.1262201117623048
FL-B,2,8914,8,0.2269299723284118
CEN-B,2,37,0,0.15685549766706514
CEN-B,2,37,1,0.15098771185918192
CEN-B,2,37,2,0.2034653952285172
CEN-B,2,37,3,0.1693588769873864
CEN-B,2,37,4,0.1447240172739314
CEN-B,2,37,5,0.15756361819091105
CEN-B,2,37,6,0.23606393349562502
CEN-B,2,37,7,0.1508780570009606
CEN-B,2,37,8,0.27705872027048356
FL-B,2,37,0,0.12776495802148166
FL-B,2,37,1,0.11979091350807462
FL-B,2,37,2,0.16020880635509543
FL-B,2,37,3,0.11138031318454561
FL-B,2,37,4,0.13381079061898965
FL-B,2,37,5,0.13282133916935163
FL-B,2,37,6,0.18083070827871742
FL-B,2,37,7,0.13998169926336473
FL-B,2,37,8,0.24100484052745758
CEN-B,4,1665,0,0.2607276251612285
CEN-B,4,1665,1,0.1819777320373594
CEN-B,4,1665,2,0.24093988727700383
CEN-B,4,1665,3,0.2570305990458945
CEN-B,4,1665,4,0.17799362364931628
CEN-B,4,1665,5,0.22309351141950076
CEN-B,4,1665,6,0.2614041227863501
CEN-B,4,1665,7,0.21561962162436826
CEN-B,4,1665,8,0.3493331455610521
FL-B,4,1665,0,0.17285188455667078
FL-B,4,1665,1,0.16939151600572575
FL-B,4,1665,2,0.23346807290335003
FL-B,4,1665,3,0.211652065024314
FL-B,4,1665,4,0.14940457554468417
FL-B,4,1665,5,0.18244733442075606
FL-B,4,1665,6,0.23813588640739786
FL-B,4,1665,7,0.2025453104855115
FL-B,4,1665,8,0.31458857944284585
CEN-B,4,8914,0,0.2270282644268975
CEN-B,4,8914,1,0.17831008456248326
CEN-B,4,8914,2,0.27996580291863954
CEN-B,4,8914,3,0.1847632459956864
CEN-B,4,8914,4,0.1529133380574271
CEN-B,4,8914,5,0.2156905667453113
CEN-B,4,8914,6,0.23035288967404277
CEN-B,4,8914,7,0.17125995782018893
CEN-B,4,8914,8,0.24367425971115103
FL-B,4,8914,0,0.1865234872345191
FL-B,4,8914,1,0.18157344177955242
FL-B,4,8914,2,0.24726446456769618
FL-B,4,8914,3,0.16255183216554228
FL-B,4,8914,4,0.1420958477904116
FL-B,4,8914,5,0.1543643807252192
FL-B,4,8914,6,0.20115393217121144
FL-B,4,8914,7,0.1361506971962117
FL-B,4,8914,8,0.20380760550789376
CEN-B,4,37,0,0.22143057052106208
CEN-B,4,37,1,0.17180576786130794
CEN-B,4,37,2,0.2875993437237244
CEN-B,4,37,3,0.24255708520606567
CEN-B,4,37,4,0.19020507711279852
CEN-B,4,37,5,0.24970505335414908
CEN-B,4,37,6,0.2156832143635089
CEN-B,4,37,7,0.1847231590896258
CEN-B,4,37,8,0.3860181451119485
FL-B,4,37,0,0.16452880274378268
FL-B,4,37,1,0.15875794137050306
FL-B,4,37,2,0.2454414650397662
FL-B,4,37,3,0.21377848230901914
FL-B,4,37,4,0.16124410864227415
FL-B,4,37,5,0.1787784254626714
FL-B,4,37,6,0.20680993344166437
FL-B,4,37,7,0.15543096558729216
FL-B,4,37,8,0.33706295588629076
CEN-B,8,1665,0,0.28841576881875225
CEN-B,8,1665,1,0.21650765177786824
CEN-B,8,1665,2,0.28326768657357465
CEN-B,8,1665,3,0.2535817529001186
CEN-B,8,1665,4,0.2003997826945881
CEN-B,8,1665,5,0.23890604755436212
CEN-B,8,1665,6,0.3196281003587075
CEN-B,8,1665,7,0.22514611783708083
CEN-B,8,1665,8,0.34246754887901504
FL-B,8,1665,0,0.20536229339469034
FL-B,8,1665,1,0.18325129476470725
FL-B,8,1665,2,0.24631191303824748
FL-B,8,1665,3,0.20074949218953095
FL-B,8,1665,4,0.15636639323060736
FL-B,8,1665,5,0.18570934823215202
FL-B,8,1665,6,0.2593792487781953
FL-B,8,1665,7,0.23210975881168885
FL-B,8,1665,8,0.3464677582183483
CEN-B,8,8914,0,0.2649020350879242
CEN-B,8,8914,1,0.23858169186435052
CEN-B,8,8914,2,0.31304227016349484
CEN-B,8,8914,3,0.2746033642944794
CEN-B,8,8914,4,0.20583044856745095
CEN-B,8,8914,5,0.2599122725828909
CEN-B,8,8914,6,0.2957440296204167
CEN-B,8,8914,7,0.26233461613190046
CEN-B,8,8914,8,0.39401884419598515
FL-B,8,8914,0,0.20715371181382405
FL-B,8,8914,1,0.19678141758196338
FL-B,8,8914,2,0.254970426417371
FL-B,8,8914,3,0.24760457254942753
FL-B,8,8914,4,0.1713189805091504
FL-B,8,8914,5,0.2048356971814327
FL-B,8,8914,6,0.23557595014966926
FL-B,8,8914,7,0.24521595830003928
FL-B,8,8914,8,0.3630864603485957
CEN-B,8,37,0,0.27922931262545
CEN-B,8,37,1,0.2090997524336894
CEN-B,8,37,2,0.29062350430491596
CEN-B,8,37,3,0.282901167225077
CEN-B,8,37,4,0.2260736491484098
CEN-B,8,37,5,0.27370626208265053
CEN-B,8,37,6,0.2926018792385402
CEN-B,8,37,7,0.2229273737331469
CEN-B,8,37,8,0.3633677388998704
FL-B,8,37,0,0.18930015537869238
FL-B,8,37,1,0.18742761472461097
FL-B,8,37,2,0.2696618244462347
FL-B,8,37,3,0.24623619492214663
FL-B,8,37,4,0.1758848269123843
FL-B,8,37,5,0.21490128582940826
FL-B,8,37,6,0.274133324320646
FL-B,8,37,7,0.18512122123355282
FL-B,8,37,8,0.33529982078759074
