stage,seed,n_video,video,backbone,accuracy,f1
FE,37,full,65,FL-BB,0.789642285104111,0.5296770527630857
FE,37,full,77,FL-BB,0.7454036770583533,0.6967962152402606
FE,37,full,50,FL-BB,0.7413162705667276,0.5930746257638909
FE,37,full,69,FL-BB,0.7304918032786886,0.5234908881901281
FE,37,full,71,FL-BB,0.6576540755467197,0.48424885794869116
FE,37,full,63,FL-BB,0.3699388290125255,0.31370326058099146
FE,37,full,57,FL-BB,0.5843465045592705,0.5313979257927548
FE,37,full,56,FL-BB,0.4563794983642312,0.4048931215267739
FE,37,full,58,FL-BB,0.551977306858001,0.4225051516805617
FE,37,full,78,FL-BB,0.4871447902571042,0.4672129665733617
FE,37,full,75,FL-BB,0.6864274570982839,0.4542628073580294
FE,37,full,49,FL-BB,0.698982645122681,0.5968951216228497
FE,37,full,54,FL-BB,0.64,0.5123837711645614
FE,37,full,66,FL-BB,0.8240131578947368,0.6764161790003825
FE,37,full,76,FL-BB,0.7172517931294828,0.5467787698065504
FE,37,full,70,FL-BB,0.4748743718592965,0.4496832483960495
FE,37,full,53,FL-BB,0.7946999695400548,0.6331634191433162
FE,37,full,55,FL-BB,0.8052073288331726,0.6799631898957607
FE,37,full,74,FL-BB,0.47429620563035496,0.49356583460518066
FE,37,full,59,FL-BB,0.6959847036328872,0.5882126892658747
FE,37,full,61,FL-BB,0.7611703334089363,0.47185838474533653
FE,37,full,60,FL-BB,0.4901263823064771,0.4266839281452361
FE,37,full,80,FL-BB,0.7389791183294664,0.473770987036843
FE,37,full,79,FL-BB,0.6113063854715876,0.4555997596759917
FE,37,full,52,FL-BB,0.7660223804679552,0.686641571862206
FE,37,full,68,FL-BB,0.7530425963488844,0.675112638684416
FE,37,full,51,FL-BB,0.5669157608695652,0.537992112745136
FE,37,full,72,FL-BB,0.6065679330328396,0.48437809950052174
FE,37,full,67,FL-BB,0.7318317042073949,0.632681961505839
FE,37,full,64,FL-BB,0.7235195996663887,0.5280600146616933
FE,37,full,73,FL-BB,0.7013274336283186,0.604960839116052
FE,37,full,62,FL-BB,0.7081692913385826,0.6223987295885524
FE,1665,full,65,FL-BB,0.7800320341697811,0.5296512661991378
FE,1665,full,77,FL-BB,0.6614708233413269,0.6188710849325992
FE,1665,full,50,FL-BB,0.7358318098720292,0.5163735972528215
FE,1665,full,69,FL-BB,0.8815300546448087,0.639725015347563
FE,1665,full,71,FL-BB,0.694234592445328,0.49314787012503253
FE,1665,full,63,FL-BB,0.3361491406932712,0.31649229097736314
FE,1665,full,57,FL-BB,0.6694528875379939,0.5428585617551177
FE,1665,full,56,FL-BB,0.5283533260632497,0.3921054252537345
FE,1665,full,58,FL-BB,0.6007008176205573,0.45513429308423436
FE,1665,full,78,FL-BB,0.584573748308525,0.49240476674139266
FE,1665,full,75,FL-BB,0.516380655226209,0.40040201438447687
FE,1665,full,49,FL-BB,0.6116098144823459,0.5554238506924085
FE,1665,full,54,FL-BB,0.6216129032258064,0.49934826706120683
FE,1665,full,66,FL-BB,0.8141447368421053,0.7072979476272444
FE,1665,full,76,FL-BB,0.7383918459796149,0.5549811203676729
FE,1665,full,70,FL-BB,0.6633165829145728,0.5536368698552118
FE,1665,full,53,FL-BB,0.674383186110265,0.5247142202682543
FE,1665,full,55,FL-BB,0.759884281581485,0.6942839681459356
FE,1665,full,74,FL-BB,0.4810281517747858,0.4929993599384467
FE,1665,full,59,FL-BB,0.6711281070745698,0.54191910202094
FE,1665,full,61,FL-BB,0.7033340893626673,0.41760068656166055
FE,1665,full,60,FL-BB,0.5726698262243286,0.4494625406854954
FE,1665,full,80,FL-BB,0.7151972157772621,0.48260647190863326
FE,1665,full,79,FL-BB,0.7144112478031635,0.5214144381496518
FE,1665,full,52,FL-BB,0.6505595116988809,0.5930268709767149
FE,1665,full,68,FL-BB,0.6693711967545639,0.6026087876120426
FE,1665,full,51,FL-BB,0.5798233695652174,0.4716629572569713
FE,1665,full,72,FL-BB,0.5466838377334192,0.5000079127506517
