stage,seed,n_video,video,backbone,accuracy,f1
S2,8914,8,0,FL-BB,0.7869539260864258,0.726
S2,8914,8,1,FL-BB,0.8839122653007507,0.7421
S2,8914,8,2,FL-BB,0.624660313129425,0.6947
S2,8914,8,3,FL-BB,0.7533062100410461,0.7918
S2,8914,8,4,FL-BB,0.6506244540214539,0.6562
S2,8914,8,5,FL-BB,0.6490322351455688,0.6957
S2,8914,8,6,FL-BB,0.7782063484191895,0.7464
S2,8914,8,7,FL-BB,0.4792802631855011,0.5171
S2,8914,8,8,FL-BB,0.7207446694374084,0.7523
S2,8914,8,9,FL-BB,0.34106457233428955,0.4972
S2,8914,8,10,FL-BB,0.5726577639579773,0.6066
S2,8914,8,11,FL-BB,0.43680885434150696,0.5841
S2,8914,8,12,FL-BB,0.7012928128242493,0.592
S2,8914,8,13,FL-BB,0.6584645509719849,0.7816
S2,8914,8,14,FL-BB,0.4331488609313965,0.5193
S2,8914,8,15,FL-BB,0.6630525588989258,0.6196
S2,8914,8,16,FL-BB,0.7768286466598511,0.6849
S2,8914,8,17,FL-BB,0.8854166865348816,0.8258
S2,8914,8,18,FL-BB,0.6217594742774963,0.7312
S2,8914,8,19,FL-BB,0.842292070388794,0.7871
S2,8914,8,20,FL-BB,0.5971584916114807,0.6679
S2,8914,8,21,FL-BB,0.5795645117759705,0.6862
S2,8914,8,22,FL-BB,0.6401590704917908,0.4627
S2,8914,8,23,FL-BB,0.5895041823387146,0.7124
S2,8914,8,24,FL-BB,0.8230088353157043,0.8619
S2,8914,8,25,FL-BB,0.48470011353492737,0.6204
S2,8914,8,26,FL-BB,0.7831513285636902,0.6432
S2,8914,8,27,FL-BB,0.7806719541549683,0.8366
S2,8914,8,28,FL-BB,0.7330135703086853,0.7656
S2,8914,8,29,FL-BB,0.6197564005851746,0.6779
S2,8914,8,30,FL-BB,0.5278266072273254,0.6357
S2,8914,8,31,FL-BB,0.5968677401542664,0.5866
S2,1665,8,0,FL-BB,0.832435667514801,0.7572
S2,1665,8,1,FL-BB,0.8756855726242065,0.7245
S2,1665,8,2,FL-BB,0.686141312122345,0.7798
S2,1665,8,3,FL-BB,0.7548321485519409,0.726
S2,1665,8,4,FL-BB,0.7237282991409302,0.679
S2,1665,8,5,FL-BB,0.7241935729980469,0.7038
S2,1665,8,6,FL-BB,0.6075217127799988,0.6809
S2,1665,8,7,FL-BB,0.5883315205574036,0.6215
S2,1665,8,8,FL-BB,0.744300901889801,0.7856
S2,1665,8,9,FL-BB,0.4740530550479889,0.6048
S2,1665,8,10,FL-BB,0.590822160243988,0.6195
S2,1665,8,11,FL-BB,0.48025277256965637,0.5838
S2,1665,8,12,FL-BB,0.7126332521438599,0.6651
S2,1665,8,13,FL-BB,0.685531497001648,0.7405
S2,1665,8,14,FL-BB,0.3856685161590576,0.5062
S2,1665,8,15,FL-BB,0.6513761281967163,0.577
S2,1665,8,16,FL-BB,0.8168713450431824,0.6713
S2,1665,8,17,FL-BB,0.8695175647735596,0.8505
S2,1665,8,18,FL-BB,0.7564811110496521,0.7779
S2,1665,8,19,FL-BB,0.772819459438324,0.7764
S2,1665,8,20,FL-BB,0.6585792303085327,0.6765
S2,1665,8,21,FL-BB,0.5234506130218506,0.6023
S2,1665,8,22,FL-BB,0.7669979929924011,0.7394
S2,1665,8,23,FL-BB,0.6529298424720764,0.76
S2,1665,8,24,FL-BB,0.9115044474601746,0.8924
S2,1665,8,25,FL-BB,0.5832313299179077,0.6646
S2,1665,8,26,FL-BB,0.7888715267181396,0.6591
S2,1665,8,27,FL-BB,0.6666666865348816,0.701
S2,1665,8,28,FL-BB,0.8009592294692993,0.8005
S2,1665,8,29,FL-BB,0.6116373538970947,0.661
S2,1665,8,30,FL-BB,0.6332747340202332,0.6896
S2,1665,8,31,FL-BB,0.6473317742347717,0.5793
S2,37,8,0,FL-BB,0.7731897234916687,0.7694
S2,37,8,1,FL-BB,0.9213894009590149,0.817
S2,37,8,2,FL-BB,0.569972813129425,0.6412
S2,37,8,3,FL-BB,0.7833163738250732,0.7973
S2,37,8,4,FL-BB,0.6993603706359863,0.6274
S2,37,8,5,FL-BB,0.5906451344490051,0.6912
S2,37,8,6,FL-BB,0.6904532313346863,0.7253
S2,37,8,7,FL-BB,0.4820065498352051,0.5193
S2,37,8,8,FL-BB,0.7268236875534058,0.7582
S2,37,8,9,FL-BB,0.3644251525402069,0.5193
S2,37,8,10,FL-BB,0.5965583324432373,0.6372
S2,37,8,11,FL-BB,0.32069510221481323,0.4894
S2,37,8,12,FL-BB,0.6702200174331665,0.567
S2,37,8,13,FL-BB,0.6171259880065918,0.7318
S2,37,8,14,FL-BB,0.2484707236289978,0.4643
S2,37,8,15,FL-BB,0.5900750756263733,0.5309
S2,37,8,16,FL-BB,0.775226891040802,0.6907
S2,37,8,17,FL-BB,0.9111841917037964,0.8109
S2,37,8,18,FL-BB,0.6183595657348633,0.7481
S2,37,8,19,FL-BB,0.7388437986373901,0.7486
S2,37,8,20,FL-BB,0.5975956320762634,0.6216
S2,37,8,21,FL-BB,0.5552763938903809,0.5857
S2,37,8,22,FL-BB,0.598807156085968,0.5072
S2,37,8,23,FL-BB,0.5663232207298279,0.7047
S2,37,8,24,FL-BB,0.9085545539855957,0.9015
S2,37,8,25,FL-BB,0.5452876091003418,0.6195
S2,37,8,26,FL-BB,0.7763910293579102,0.6509
S2,37,8,27,FL-BB,0.6738392114639282,0.7479
S2,37,8,28,FL-BB,0.7206234931945801,0.7552
S2,37,8,29,FL-BB,0.5859269499778748,0.6167
S2,37,8,30,FL-BB,0.611306369304657,0.7249
S2,37,8,31,FL-BB,0.6223897933959961,0.6081
S2,1665,4,0,FL-BB,0.6163973808288574,0.6897
S2,1665,4,1,FL-BB,0.6307129859924316,0.5645
S2,1665,4,2,FL-BB,0.63722825050354,0.7065
S2,1665,4,3,FL-BB,0.6709054112434387,0.6106
