vids,labels,set_type,split,case_id
GynSurg_Action_Segments/Coagulation/case_57_Coagulation_0%3A17%3A57.200000-0%3A18%3A11.88333330fps_clip_1.mp4,Coagulation,train,2,57
GynSurg_Action_Segments/Coagulation/case_57_Coagulation_0%3A17%3A57.200000-0%3A18%3A11.88333330fps_clip_2.mp4,Coagulation,train,2,57
GynSurg_Action_Segments/Coagulation/case_57_Coagulation_0%3A17%3A57.200000-0%3A18%3A11.88333330fps_clip_3.mp4,Coagulation,train,2,57
GynSurg_Action_Segments/Coagulation/case_57_Coagulation_0%3A17%3A57.200000-0%3A18%3A11.88333330fps_clip_4.mp4,Coagulation,train,2,57
GynSurg_Action_Segments/Coagulation/case_57_Coagulation_0%3A17%3A57.200000-0%3A18%3A11.88333330fps_clip_5.mp4,Coagulation,train,2,57
GynSurg_Action_Segments/Coagulation/case_57_Coagulation_0%3A17%3A57.200000-0%3A18%3A11.88333330fps_clip_6.mp4,Coagulation,train,2,57
GynSurg_Action_Segments/Coagulation/case_71_Coagulation_0%3A03%3A06.283333-0%3A03%3A11.31666730fps_clip_1.mp4,Coagulation,train,2,71
GynSurg_Action_Segments/Coagulation/case_71_Coagulation_0%3A03%3A06.283333-0%3A03%3A11.31666730fps_clip_2.mp4,Coagulation,train,2,71
GynSurg_Action_Segments/Coagulation/case_71_Coagulation_0%3A03%3A20.758333-0%3A03%3A26.80000030fps_clip_1.mp4,Coagulation,train,2,71
GynSurg_Action_Segments/Coagulation/case_71_Coagulation_0%3A03%3A20.758333-0%3A03%3A26.80000030fps_clip_2.mp4,Coagulation,train,2,71
GynSurg_Action_Segments/Coagulation/case_71_Coagulation_0%3A03%3A32.716667-0%3A03%3A38.44166730fps_clip_1.mp4,Coagulation,train,2,71
GynSurg_Action_Segments/Coagulation/case_71_Coagulation_0%3A03%3A32.716667-0%3A03%3A38.44166730fps_clip_2.mp4,Coagulation,train,2,71
GynSurg_Action_Segments/Coagulation/case_78_Coagulation_0%3A00%3A41.307975-0%3A00%3A45.37871230fps_clip_1.mp4,Coagulation,train,2,78
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A11.745078-0%3A40%3A17.38405130fps_clip_1.mp4,Coagulation,train,2,81
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A11.745078-0%3A40%3A17.38405130fps_clip_2.mp4,Coagulation,train,2,81
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A21.388055-0%3A40%3A25.09175830fps_clip_1.mp4,Coagulation,train,2,81
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A42.442442-0%3A40%3A52.18551930fps_clip_1.mp4,Coagulation,train,2,81
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A42.442442-0%3A40%3A52.18551930fps_clip_2.mp4,Coagulation,train,2,81
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A42.442442-0%3A40%3A52.18551930fps_clip_3.mp4,Coagulation,train,2,81
GynSurg_Action_Segments/Coagulation/case_81_Coagulation_0%3A40%3A42.442442-0%3A40%3A52.18551930fps_clip_4.mp4,Coagulation,train,2,81
