vids,labels,set_type,split,case_id
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_1.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_2.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_3.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_4.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_5.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_6.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_7.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_8.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_9.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_10.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_11.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_12.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_13.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_14.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_15.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_16.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_17.mp4,Smoke,train,1,293
GynSurg_Action_Segments/Smoke/case_293_Smoke_0:00:42.766667-0:01:47.63333330fps_clip_18.mp4,Smoke,train,1,293
